timestamp;host;porta;unit_id;funcao;endereco;quantidade;status;codigo_excecao;registros;int16;requisicao_hex;resposta_hex;erro
2026-08-08T02:07:22.610-03:00;192.168.0.250;502;1;3;5113;1;EXCECAO;2;[];;00 9F 00 00 00 06 01 03 13 F9 00 01;00 9F 00 00 00 03 01 83 02;
2026-08-08T02:07:22.613-03:00;192.168.0.250;502;1;3;5114;1;EXCECAO;2;[];;00 A0 00 00 00 06 01 03 13 FA 00 01;00 A0 00 00 00 03 01 83 02;
2026-08-08T02:07:22.624-03:00;192.168.0.250;502;1;3;5115;1;EXCECAO;2;[];;00 A1 00 00 00 06 01 03 13 FB 00 01;00 A1 00 00 00 03 01 83 02;
2026-08-08T02:07:22.627-03:00;192.168.0.250;502;1;3;5116;1;EXCECAO;2;[];;00 A2 00 00 00 06 01 03 13 FC 00 01;00 A2 00 00 00 03 01 83 02;
2026-08-08T02:07:22.631-03:00;192.168.0.250;502;1;3;5117;1;EXCECAO;2;[];;00 A3 00 00 00 06 01 03 13 FD 00 01;00 A3 00 00 00 03 01 83 02;
2026-08-08T02:07:22.634-03:00;192.168.0.250;502;1;3;5118;1;EXCECAO;2;[];;00 A4 00 00 00 06 01 03 13 FE 00 01;00 A4 00 00 00 03 01 83 02;
2026-08-08T02:07:22.641-03:00;192.168.0.250;502;1;3;5119;1;EXCECAO;2;[];;00 A5 00 00 00 06 01 03 13 FF 00 01;00 A5 00 00 00 03 01 83 02;
2026-08-08T02:07:22.646-03:00;192.168.0.250;502;1;3;5120;1;OK;;[65535];[-1];00 A6 00 00 00 06 01 03 14 00 00 01;00 A6 00 00 00 05 01 03 02 FF FF;
2026-08-08T02:07:22.650-03:00;192.168.0.250;502;1;3;5121;1;OK;;[0];[0];00 A7 00 00 00 06 01 03 14 01 00 01;00 A7 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.653-03:00;192.168.0.250;502;1;3;5122;1;OK;;[0];[0];00 A8 00 00 00 06 01 03 14 02 00 01;00 A8 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.656-03:00;192.168.0.250;502;1;3;5123;1;OK;;[0];[0];00 A9 00 00 00 06 01 03 14 03 00 01;00 A9 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.659-03:00;192.168.0.250;502;1;3;5124;1;OK;;[0];[0];00 AA 00 00 00 06 01 03 14 04 00 01;00 AA 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.665-03:00;192.168.0.250;502;1;3;5125;1;OK;;[65535];[-1];00 AB 00 00 00 06 01 03 14 05 00 01;00 AB 00 00 00 05 01 03 02 FF FF;
2026-08-08T02:07:22.669-03:00;192.168.0.250;502;1;3;5126;1;OK;;[0];[0];00 AC 00 00 00 06 01 03 14 06 00 01;00 AC 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.672-03:00;192.168.0.250;502;1;3;5127;1;EXCECAO;2;[];;00 AD 00 00 00 06 01 03 14 07 00 01;00 AD 00 00 00 03 01 83 02;
2026-08-08T02:07:22.674-03:00;192.168.0.250;502;1;3;5128;1;OK;;[0];[0];00 AE 00 00 00 06 01 03 14 08 00 01;00 AE 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.682-03:00;192.168.0.250;502;1;3;5129;1;EXCECAO;2;[];;00 AF 00 00 00 06 01 03 14 09 00 01;00 AF 00 00 00 03 01 83 02;
2026-08-08T02:07:22.685-03:00;192.168.0.250;502;1;3;5130;1;EXCECAO;2;[];;00 B0 00 00 00 06 01 03 14 0A 00 01;00 B0 00 00 00 03 01 83 02;
2026-08-08T02:07:22.689-03:00;192.168.0.250;502;1;3;5131;1;EXCECAO;2;[];;00 B1 00 00 00 06 01 03 14 0B 00 01;00 B1 00 00 00 03 01 83 02;
2026-08-08T02:07:22.694-03:00;192.168.0.250;502;1;3;5132;1;EXCECAO;2;[];;00 B2 00 00 00 06 01 03 14 0C 00 01;00 B2 00 00 00 03 01 83 02;
2026-08-08T02:07:22.698-03:00;192.168.0.250;502;1;3;5133;1;EXCECAO;2;[];;00 B3 00 00 00 06 01 03 14 0D 00 01;00 B3 00 00 00 03 01 83 02;
2026-08-08T02:07:22.700-03:00;192.168.0.250;502;1;3;5134;1;EXCECAO;2;[];;00 B4 00 00 00 06 01 03 14 0E 00 01;00 B4 00 00 00 03 01 83 02;
2026-08-08T02:07:22.712-03:00;192.168.0.250;502;1;3;5135;1;EXCECAO;2;[];;00 B5 00 00 00 06 01 03 14 0F 00 01;00 B5 00 00 00 03 01 83 02;
2026-08-08T02:07:22.715-03:00;192.168.0.250;502;1;3;5136;1;OK;;[80];[80];00 B6 00 00 00 06 01 03 14 10 00 01;00 B6 00 00 00 05 01 03 02 00 50;
2026-08-08T02:07:22.720-03:00;192.168.0.250;502;1;3;5137;1;OK;;[80];[80];00 B7 00 00 00 06 01 03 14 11 00 01;00 B7 00 00 00 05 01 03 02 00 50;
2026-08-08T02:07:22.723-03:00;192.168.0.250;502;1;3;5138;1;OK;;[200];[200];00 B8 00 00 00 06 01 03 14 12 00 01;00 B8 00 00 00 05 01 03 02 00 C8;
2026-08-08T02:07:22.728-03:00;192.168.0.250;502;1;3;5139;1;OK;;[0];[0];00 B9 00 00 00 06 01 03 14 13 00 01;00 B9 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.732-03:00;192.168.0.250;502;1;3;5140;1;OK;;[20];[20];00 BA 00 00 00 06 01 03 14 14 00 01;00 BA 00 00 00 05 01 03 02 00 14;
2026-08-08T02:07:22.734-03:00;192.168.0.250;502;1;3;5410;1;OK;;[0];[0];00 BB 00 00 00 06 01 03 15 22 00 01;00 BB 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.740-03:00;192.168.0.250;502;1;3;5411;1;OK;;[0];[0];00 BC 00 00 00 06 01 03 15 23 00 01;00 BC 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.742-03:00;192.168.0.250;502;1;3;5412;1;OK;;[0];[0];00 BD 00 00 00 06 01 03 15 24 00 01;00 BD 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.752-03:00;192.168.0.250;502;1;3;5413;1;OK;;[0];[0];00 BE 00 00 00 06 01 03 15 25 00 01;00 BE 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.757-03:00;192.168.0.250;502;1;3;5414;1;OK;;[0];[0];00 BF 00 00 00 06 01 03 15 26 00 01;00 BF 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.762-03:00;192.168.0.250;502;1;3;5415;1;OK;;[0];[0];00 C0 00 00 00 06 01 03 15 27 00 01;00 C0 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.768-03:00;192.168.0.250;502;1;3;5416;1;OK;;[0];[0];00 C1 00 00 00 06 01 03 15 28 00 01;00 C1 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.770-03:00;192.168.0.250;502;1;3;5417;1;OK;;[0];[0];00 C2 00 00 00 06 01 03 15 29 00 01;00 C2 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.773-03:00;192.168.0.250;502;1;3;5418;1;OK;;[0];[0];00 C3 00 00 00 06 01 03 15 2A 00 01;00 C3 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.778-03:00;192.168.0.250;502;1;3;5419;1;OK;;[0];[0];00 C4 00 00 00 06 01 03 15 2B 00 01;00 C4 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.781-03:00;192.168.0.250;502;1;3;5420;1;OK;;[30];[30];00 C5 00 00 00 06 01 03 15 2C 00 01;00 C5 00 00 00 05 01 03 02 00 1E;
2026-08-08T02:07:22.784-03:00;192.168.0.250;502;1;3;5421;1;OK;;[0];[0];00 C6 00 00 00 06 01 03 15 2D 00 01;00 C6 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.786-03:00;192.168.0.250;502;1;3;5422;1;EXCECAO;2;[];;00 C7 00 00 00 06 01 03 15 2E 00 01;00 C7 00 00 00 03 01 83 02;
2026-08-08T02:07:22.788-03:00;192.168.0.250;502;1;3;5423;1;EXCECAO;2;[];;00 C8 00 00 00 06 01 03 15 2F 00 01;00 C8 00 00 00 03 01 83 02;
2026-08-08T02:07:22.790-03:00;192.168.0.250;502;1;3;5424;1;OK;;[0];[0];00 C9 00 00 00 06 01 03 15 30 00 01;00 C9 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.792-03:00;192.168.0.250;502;1;3;5425;1;OK;;[0];[0];00 CA 00 00 00 06 01 03 15 31 00 01;00 CA 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.794-03:00;192.168.0.250;502;1;3;5426;1;OK;;[0];[0];00 CB 00 00 00 06 01 03 15 32 00 01;00 CB 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.796-03:00;192.168.0.250;502;1;3;5427;1;OK;;[0];[0];00 CC 00 00 00 06 01 03 15 33 00 01;00 CC 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.802-03:00;192.168.0.250;502;1;3;5428;1;OK;;[0];[0];00 CD 00 00 00 06 01 03 15 34 00 01;00 CD 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.805-03:00;192.168.0.250;502;1;3;5429;1;OK;;[0];[0];00 CE 00 00 00 06 01 03 15 35 00 01;00 CE 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.807-03:00;192.168.0.250;502;1;3;5430;1;OK;;[3];[3];00 CF 00 00 00 06 01 03 15 36 00 01;00 CF 00 00 00 05 01 03 02 00 03;
2026-08-08T02:07:22.809-03:00;192.168.0.250;502;1;3;5431;1;OK;;[3];[3];00 D0 00 00 00 06 01 03 15 37 00 01;00 D0 00 00 00 05 01 03 02 00 03;
2026-08-08T02:07:22.813-03:00;192.168.0.250;502;1;3;5432;1;OK;;[0];[0];00 D1 00 00 00 06 01 03 15 38 00 01;00 D1 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.815-03:00;192.168.0.250;502;1;3;5433;1;OK;;[0];[0];00 D2 00 00 00 06 01 03 15 39 00 01;00 D2 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.817-03:00;192.168.0.250;502;1;3;5434;1;OK;;[0];[0];00 D3 00 00 00 06 01 03 15 3A 00 01;00 D3 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.819-03:00;192.168.0.250;502;1;3;5435;1;OK;;[0];[0];00 D4 00 00 00 06 01 03 15 3B 00 01;00 D4 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.821-03:00;192.168.0.250;502;1;3;5436;1;OK;;[40];[40];00 D5 00 00 00 06 01 03 15 3C 00 01;00 D5 00 00 00 05 01 03 02 00 28;
2026-08-08T02:07:22.826-03:00;192.168.0.250;502;1;3;5437;1;OK;;[2];[2];00 D6 00 00 00 06 01 03 15 3D 00 01;00 D6 00 00 00 05 01 03 02 00 02;
2026-08-08T02:07:22.832-03:00;192.168.0.250;502;1;3;5438;1;OK;;[0];[0];00 D7 00 00 00 06 01 03 15 3E 00 01;00 D7 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.835-03:00;192.168.0.250;502;1;3;5439;1;EXCECAO;2;[];;00 D8 00 00 00 06 01 03 15 3F 00 01;00 D8 00 00 00 03 01 83 02;
2026-08-08T02:07:22.838-03:00;192.168.0.250;502;1;3;5440;1;OK;;[0];[0];00 D9 00 00 00 06 01 03 15 40 00 01;00 D9 00 00 00 05 01 03 02 00 00;
2026-08-08T02:07:22.840-03:00;192.168.0.250;502;1;3;5620;1;EXCECAO;2;[];;00 DA 00 00 00 06 01 03 15 F4 00 01;00 DA 00 00 00 03 01 83 02;
2026-08-08T02:07:22.842-03:00;192.168.0.250;502;1;3;5621;1;EXCECAO;2;[];;00 DB 00 00 00 06 01 03 15 F5 00 01;00 DB 00 00 00 03 01 83 02;
2026-08-08T02:07:22.845-03:00;192.168.0.250;502;1;3;5622;1;EXCECAO;2;[];;00 DC 00 00 00 06 01 03 15 F6 00 01;00 DC 00 00 00 03 01 83 02;
2026-08-08T02:07:22.847-03:00;192.168.0.250;502;1;3;5623;1;EXCECAO;2;[];;00 DD 00 00 00 06 01 03 15 F7 00 01;00 DD 00 00 00 03 01 83 02;
